H  SOFTWARE NAME & VERSION
I  PCX5 2.08 by AFTrack91 1.1
H  R DATUM                IDX DA            DF            DX            DY            DZ
M  G WGS 84               121 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00

H  R DATUM        
U  LAT LON DEG

H  TRACK SUMMARY
H  Track            Pnts Date     Time     Duration
H  TN Paraiso        295 02-04-07 09:29:10 02:07:24  Puerto n. Paraiso


H  LATITUDE    LONGITUDE    DATE      TIME     ALT    
T  +28.4174616 -016.5478816 02-APR-07 09:27:13 33 Track No. 37
T  +28.4174450 -016.5478633 02-APR-07 09:29:10 33
T  +28.4172100 -016.5477050 02-APR-07 09:29:38 32
T  +28.4172666 -016.5474150 02-APR-07 09:30:02 33
T  +28.4173383 -016.5470183 02-APR-07 09:30:37 37
T  +28.4173800 -016.5469483 02-APR-07 09:30:59 38
T  +28.4173550 -016.5467950 02-APR-07 09:31:24 35
T  +28.4173716 -016.5467983 02-APR-07 09:31:38 33
T  +28.4172883 -016.5468483 02-APR-07 09:31:50 28
T  +28.4173900 -016.5467700 02-APR-07 09:32:05 26
T  +28.4175933 -016.5462816 02-APR-07 09:32:46 43
T  +28.4175150 -016.5451150 02-APR-07 09:34:39 33
T  +28.4183666 -016.5442450 02-APR-07 09:36:19 35
T  +28.4178850 -016.5433283 02-APR-07 09:37:51 48
T  +28.4178016 -016.5433500 02-APR-07 09:37:58 51
T  +28.4177549 -016.5432650 02-APR-07 09:38:13 55
T  +28.4177400 -016.5432450 02-APR-07 09:38:20 56
T  +28.4176800 -016.5431833 02-APR-07 09:38:31 60
T  +28.4175816 -016.5431566 02-APR-07 09:39:04 42
T  +28.4176283 -016.5429550 02-APR-07 09:39:12 50
T  +28.4176900 -016.5427100 02-APR-07 09:39:27 65
T  +28.4174216 -016.5427400 02-APR-07 09:39:40 66
T  +28.4170316 -016.5422333 02-APR-07 09:40:15 56
T  +28.4169983 -016.5421733 02-APR-07 09:40:27 51
T  +28.4167500 -016.5422783 02-APR-07 09:40:55 43
T  +28.4163316 -016.5427950 02-APR-07 09:41:59 30
T  +28.4158200 -016.5433600 02-APR-07 09:43:06 45
T  +28.4158016 -016.5432600 02-APR-07 09:43:15 49
T  +28.4157266 -016.5431450 02-APR-07 09:43:32 51
T  +28.4157249 -016.5431533 02-APR-07 09:43:40 50
T  +28.4156833 -016.5431850 02-APR-07 09:43:46 48
T  +28.4156233 -016.5432250 02-APR-07 09:43:52 46
T  +28.4156983 -016.5433266 02-APR-07 09:48:22 53
T  +28.4152449 -016.5437500 02-APR-07 09:49:33 45
T  +28.4152433 -016.5437466 02-APR-07 09:49:41 45
T  +28.4152316 -016.5437383 02-APR-07 09:49:48 44
T  +28.4149599 -016.5433833 02-APR-07 09:50:39 47
T  +28.4148883 -016.5432916 02-APR-07 09:50:57 49
T  +28.4148633 -016.5432750 02-APR-07 09:51:05 51
T  +28.4146883 -016.5432083 02-APR-07 09:51:31 56
T  +28.4146616 -016.5432050 02-APR-07 09:51:39 56
T  +28.4145449 -016.5431033 02-APR-07 09:51:58 58
T  +28.4144183 -016.5427683 02-APR-07 09:52:43 67
T  +28.4142616 -016.5425550 02-APR-07 09:53:11 71
T  +28.4141983 -016.5425266 02-APR-07 09:53:27 73
T  +28.4142116 -016.5424733 02-APR-07 09:54:18 73
T  +28.4142566 -016.5422983 02-APR-07 09:54:45 82
T  +28.4142949 -016.5422183 02-APR-07 09:54:58 84
T  +28.4143233 -016.5421050 02-APR-07 09:55:14 82
T  +28.4145466 -016.5415650 02-APR-07 09:56:18 93
T  +28.4149700 -016.5402800 02-APR-07 09:58:06 99
T  +28.4149999 -016.5402149 02-APR-07 09:58:18 101
T  +28.4150283 -016.5401366 02-APR-07 09:58:26 101
T  +28.4152416 -016.5397333 02-APR-07 09:59:04 101
T  +28.4154433 -016.5398100 02-APR-07 09:59:23 102
T  +28.4154583 -016.5398233 02-APR-07 09:59:32 102
T  +28.4155099 -016.5397100 02-APR-07 10:01:58 97
T  +28.4158816 -016.5394816 02-APR-07 10:02:49 97
T  +28.4159550 -016.5394050 02-APR-07 10:02:57 95
T  +28.4165133 -016.5388316 02-APR-07 10:04:08 91
T  +28.4165433 -016.5387450 02-APR-07 10:04:19 91
T  +28.4165399 -016.5387466 02-APR-07 10:04:26 91
T  +28.4165349 -016.5387150 02-APR-07 10:04:33 91
T  +28.4165733 -016.5386633 02-APR-07 10:04:45 92
T  +28.4165716 -016.5385966 02-APR-07 10:04:54 92
T  +28.4165999 -016.5381183 02-APR-07 10:05:33 91
T  +28.4164766 -016.5366383 02-APR-07 10:07:19 85
T  +28.4161466 -016.5357550 02-APR-07 10:08:33 91
T  +28.4160499 -016.5356616 02-APR-07 10:08:48 95
T  +28.4161616 -016.5342966 02-APR-07 10:10:32 113
