H  SOFTWARE NAME & VERSION
I  PCX5 2.08 by AFTrack 1.00
H  R DATUM                IDX DA            DF            DX            DY            DZ
M  G WGS 84               100 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00

H  R DATUM        
U  LAT LON DEG

H  TRACK SUMMARY
H  Track            Pnts Date     Time     Duration
H  TN Sagadi2Palms   153 13-07-04 07:47:21 02:39:11 Sagadi nach Palmse


H  LATITUDE   LONGITUDE   DATE      TIME     ALT    
T  +59.586623 +026.116687 13-Jul-04 06:47:39 2 Track No. 4
T  +59.586620 +026.116677 13-Jul-04 06:48:13 1
T  +59.586603 +026.116645 13-Jul-04 06:48:29 5
T  +59.586480 +026.116533 13-Jul-04 06:48:38 4
T  +59.585983 +026.116162 13-Jul-04 06:49:01 0
T  +59.585790 +026.115757 13-Jul-04 06:49:21 0
T  +59.584505 +026.112598 13-Jul-04 06:50:44 11
T  +59.583023 +026.111483 13-Jul-04 06:51:47 5
T  +59.583087 +026.111235 13-Jul-04 06:52:17 6
T  +59.583042 +026.111400 13-Jul-04 06:52:26 5
T  +59.583063 +026.111292 13-Jul-04 06:52:34 6
T  +59.583025 +026.109755 13-Jul-04 06:53:17 4
T  +59.582943 +026.108377 13-Jul-04 06:53:37 10
T  +59.583437 +026.105688 13-Jul-04 06:54:10 5
T  +59.583577 +026.101798 13-Jul-04 06:54:55 9
T  +59.584967 +026.096222 13-Jul-04 06:56:19 21
T  +59.588578 +026.092890 13-Jul-04 06:57:49 7
T  +59.591745 +026.086893 13-Jul-04 06:59:33 18
T  +59.593537 +026.085173 13-Jul-04 07:00:18 7
T  +59.593932 +026.083908 13-Jul-04 07:00:38 4
T  +59.597810 +026.083680 13-Jul-04 07:02:19 8
T  +59.598428 +026.083468 13-Jul-04 07:02:33 6
T  +59.599082 +026.082982 13-Jul-04 07:03:57 0
T  +59.600025 +026.081105 13-Jul-04 07:05:54 2
T  +59.600908 +026.079365 13-Jul-04 07:06:33 1
T  +59.601195 +026.079172 13-Jul-04 07:06:41 2
T  +59.602395 +026.070855 13-Jul-04 07:08:27 21
T  +59.603263 +026.064780 13-Jul-04 07:09:51 1
T  +59.603557 +026.063603 13-Jul-04 07:10:08 10
T  +59.605045 +026.056965 13-Jul-04 07:11:48 7
T  +59.605765 +026.051513 13-Jul-04 07:13:00 12
T  +59.608255 +026.045520 13-Jul-04 07:14:34 17
T  +59.612158 +026.042297 13-Jul-04 07:16:11 18
T  +59.615372 +026.038805 13-Jul-04 07:17:30 13
T  +59.617205 +026.030997 13-Jul-04 07:19:05 14
T  +59.617643 +026.027628 13-Jul-04 07:19:43 10
T  +59.617738 +026.025543 13-Jul-04 07:20:08 2
T  +59.616797 +026.021607 13-Jul-04 07:21:08 3
T  +59.616855 +026.021497 13-Jul-04 07:32:51 18
T  +59.616833 +026.021410 13-Jul-04 07:33:48 28
T  +59.616232 +026.018348 13-Jul-04 07:34:37 9
T  +59.615365 +026.012912 13-Jul-04 07:35:42 0
T  +59.612522 +026.005270 13-Jul-04 07:37:30 0
T  +59.610360 +025.999930 13-Jul-04 07:38:53 8
T  +59.607587 +025.992662 13-Jul-04 07:40:53 6
T  +59.606678 +025.989802 13-Jul-04 07:41:44 30
T  +59.605900 +025.989348 13-Jul-04 07:42:01 27
T  +59.601352 +025.991452 13-Jul-04 07:43:34 37
T  +59.596885 +025.991082 13-Jul-04 07:45:09 33
T  +59.592695 +025.989350 13-Jul-04 07:46:44 27
T  +59.588798 +025.986470 13-Jul-04 07:48:13 10
T  +59.584827 +025.982393 13-Jul-04 07:49:49 14
T  +59.581850 +025.980372 13-Jul-04 07:50:55 12
