H  SOFTWARE NAME & VERSION
I  PCX5 2.08 by AFTrack 1.17
H  R DATUM                IDX DA            DF            DX            DY            DZ
M  G WGS 84               121 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00

H  R DATUM        
U  LAT LON DEG

H  TRACK SUMMARY
H  Track            Pnts Date     Time     Duration
H  TN S'Arraco2San   299 20-10-06 09:25:48 01:57:13 S'Arraco n. Sant Elm


H  LATITUDE    LONGITUDE   DATE      TIME     ALT    
T  +39.5798267 +002.3785567 20-OCT-06 09:25:15 107 Track No. 180
T  +39.5795017 +002.3782067 20-OCT-06 09:25:48 111
T  +39.5795900 +002.3781450 20-OCT-06 09:25:56 113
T  +39.5797017 +002.3782100 20-OCT-06 09:26:06 116
T  +39.5799633 +002.3783933 20-OCT-06 09:26:29 120
T  +39.5802633 +002.3782117 20-OCT-06 09:26:55 132
T  +39.5802983 +002.3775967 20-OCT-06 09:27:31 129
T  +39.5803500 +002.3774083 20-OCT-06 09:27:48 125
T  +39.5804050 +002.3773967 20-OCT-06 09:31:39 126
T  +39.5804867 +002.3773033 20-OCT-06 09:31:49 127
T  +39.5805017 +002.3770967 20-OCT-06 09:32:01 128
T  +39.5806450 +002.3764450 20-OCT-06 09:32:42 119
T  +39.5807117 +002.3759933 20-OCT-06 09:33:09 119
T  +39.5807917 +002.3754367 20-OCT-06 09:33:42 115
T  +39.5808267 +002.3752950 20-OCT-06 09:33:50 113
T  +39.5809367 +002.3743367 20-OCT-06 09:34:47 104
T  +39.5808983 +002.3739450 20-OCT-06 09:35:11 104
T  +39.5809733 +002.3736467 20-OCT-06 09:35:29 103
T  +39.5810533 +002.3734667 20-OCT-06 09:35:41 101
T  +39.5811100 +002.3731367 20-OCT-06 09:36:05 101
T  +39.5811467 +002.3730483 20-OCT-06 09:36:13 101
T  +39.5813200 +002.3728300 20-OCT-06 09:36:32 102
T  +39.5815883 +002.3726650 20-OCT-06 09:36:55 105
T  +39.5816667 +002.3726267 20-OCT-06 09:37:01 105
T  +39.5819067 +002.3725683 20-OCT-06 09:37:22 111
T  +39.5819400 +002.3724783 20-OCT-06 09:37:28 113
T  +39.5819117 +002.3718583 20-OCT-06 09:38:06 105
T  +39.5818967 +002.3717217 20-OCT-06 09:38:15 104
T  +39.5818200 +002.3707300 20-OCT-06 09:39:15 92
T  +39.5816000 +002.3703683 20-OCT-06 09:39:45 83
T  +39.5816150 +002.3701633 20-OCT-06 09:39:59 85
T  +39.5817500 +002.3696267 20-OCT-06 09:40:32 86
T  +39.5817733 +002.3694767 20-OCT-06 09:40:40 85
T  +39.5819333 +002.3692433 20-OCT-06 09:40:58 81
T  +39.5820733 +002.3691783 20-OCT-06 09:41:10 80
T  +39.5824083 +002.3694183 20-OCT-06 09:41:43 80
T  +39.5832583 +002.3681667 20-OCT-06 09:43:20 77
T  +39.5835717 +002.3678317 20-OCT-06 09:43:56 70
T  +39.5835700 +002.3678233 20-OCT-06 09:44:02 70
T  +39.5836000 +002.3676467 20-OCT-06 09:44:20 71
T  +39.5835883 +002.3676017 20-OCT-06 09:44:32 73
T  +39.5836000 +002.3675867 20-OCT-06 09:45:04 72
T  +39.5835800 +002.3675567 20-OCT-06 09:46:01 77
T  +39.5837117 +002.3670500 20-OCT-06 09:46:34 71
T  +39.5838250 +002.3670433 20-OCT-06 09:46:42 70
T  +39.5844617 +002.3670883 20-OCT-06 09:47:35 71
T  +39.5846433 +002.3669217 20-OCT-06 09:47:57 69
T  +39.5846417 +002.3669233 20-OCT-06 09:48:03 70
T  +39.5846900 +002.3668617 20-OCT-06 09:48:11 71
T  +39.5849650 +002.3667400 20-OCT-06 09:48:32 73
T  +39.5857783 +002.3664517 20-OCT-06 09:49:35 68
T  +39.5863833 +002.3658700 20-OCT-06 09:50:43 85
T  +39.5864217 +002.3658433 20-OCT-06 09:50:55 89
T  +39.5864533 +002.3658100 20-OCT-06 09:51:01 88
T  +39.5876867 +002.3651283 20-OCT-06 09:52:53 85
T  +39.5883083 +002.3647183 20-OCT-06 09:53:58 92
T  +39.5883150 +002.3646933 20-OCT-06 09:54:06 92
T  +39.5883167 +002.3646983 20-OCT-06 09:54:35 94
T  +39.5882783 +002.3647250 20-OCT-06 09:54:43 94
T  +39.5882933 +002.3647200 20-OCT-06 09:54:51 95
T  +39.5886133 +002.3642300 20-OCT-06 09:55:37 95
T  +39.5886333 +002.3641783 20-OCT-06 09:55:54 95
T  +39.5889133 +002.3639767 20-OCT-06 09:56:27 91
T  +39.5889500 +002.3639233 20-OCT-06 09:56:34 90
T  +39.5889633 +002.3638400 20-OCT-06 09:56:42 90
T  +39.5889650 +002.3638300 20-OCT-06 09:56:52 91
T  +39.5889933 +002.3636217 20-OCT-06 09:57:10 91
T  +39.5889833 +002.3636267 20-OCT-06 09:57:18 91
T  +39.5889883 +002.3636050 20-OCT-06 09:57:28 89
T  +39.5890883 +002.3633450 20-OCT-06 09:58:00 86
T  +39.5891367 +002.3632517 20-OCT-06 09:59:15 95
T  +39.5892100 +002.3630767 20-OCT-06 09:59:29 91
T  +39.5892467 +002.3628533 20-OCT-06 09:59:49 86
T  +39.5892200 +002.3627650 20-OCT-06 10:01:31 97
T  +39.5892383 +002.3626700 20-OCT-06 10:01:45 94
T  +39.5892933 +002.3625367 20-OCT-06 10:02:18 90
T  +39.5892333 +002.3621567 20-OCT-06 10:02:49 85
T  +39.5890217 +002.3608017 20-OCT-06 10:04:10 84
T  +39.5886717 +002.3589883 20-OCT-06 10:06:00 73
T  +39.5887550 +002.3583017 20-OCT-06 10:06:50 74
T  +39.5887733 +002.3582067 20-OCT-06 10:07:31 78
T  +39.5887650 +002.3581617 20-OCT-06 10:07:42 80
T  +39.5887600 +002.3581367 20-OCT-06 10:08:15 73
T  +39.5889017 +002.3576067 20-OCT-06 10:08:51 68
T  +39.5891717 +002.3572883 20-OCT-06 10:09:19 66
T  +39.5896117 +002.3558967 20-OCT-06 10:10:52 69
T  +39.5896383 +002.3558067 20-OCT-06 10:10:59 69
T  +39.5897867 +002.3555867 20-OCT-06 10:11:20 68
T  +39.5898333 +002.3555650 20-OCT-06 10:11:46 64
T  +39.5898367 +002.3555750 20-OCT-06 10:12:22 68
T  +39.5900200 +002.3552783 20-OCT-06 10:12:51 61
T  +39.5900317 +002.3552583 20-OCT-06 10:12:58 61
T  +39.5901233 +002.3552033 20-OCT-06 10:14:58 67
T  +39.5901233 +002.3551983 20-OCT-06 10:15:05 67
T  +39.5901650 +002.3547567 20-OCT-06 10:15:42 61
T  +39.5897317 +002.3539617 20-OCT-06 10:16:44 69
T  +39.5896467 +002.3534117 20-OCT-06 10:17:21 71
T  +39.5902150 +002.3513917 20-OCT-06 10:19:33 73
T  +39.5902583 +002.3510133 20-OCT-06 10:20:02 80
T  +39.5902833 +002.3508633 20-OCT-06 10:20:12 81
T  +39.5901683 +002.3504617 20-OCT-06 10:20:42 76
T  +39.5901133 +002.3501967 20-OCT-06 10:21:01 77
T  +39.5896600 +002.3495267 20-OCT-06 10:22:00 77
T  +39.5896450 +002.3495233 20-OCT-06 10:22:07 78
T  +39.5895500 +002.3494150 20-OCT-06 10:22:23 77
T  +39.5894733 +002.3493133 20-OCT-06 10:22:37 79
T  +39.5894567 +002.3492533 20-OCT-06 10:22:44 79
T  +39.5895000 +002.3492083 20-OCT-06 10:22:51 79
T  +39.5907117 +002.3490667 20-OCT-06 10:24:43 90
T  +39.5910350 +002.3491300 20-OCT-06 10:25:26 95
T  +39.5910650 +002.3492100 20-OCT-06 10:25:35 96
T  +39.5917033 +002.3497250 20-OCT-06 10:26:48 106
T  +39.5917617 +002.3497483 20-OCT-06 10:26:55 106
T  +39.5928350 +002.3508617 20-OCT-06 10:29:05 115
T  +39.5928933 +002.3510983 20-OCT-06 10:29:24 115
T  +39.5929267 +002.3511917 20-OCT-06 10:29:35 115
T  +39.5929000 +002.3512567 20-OCT-06 10:29:42 115
T  +39.5928867 +002.3512950 20-OCT-06 10:29:50 115
T  +39.5929183 +002.3513550 20-OCT-06 10:29:58 114
T  +39.5929367 +002.3514150 20-OCT-06 10:30:09 114
T  +39.5930767 +002.3515200 20-OCT-06 10:30:27 114
T  +39.5936267 +002.3523467 20-OCT-06 10:31:46 114
T  +39.5938533 +002.3523717 20-OCT-06 10:32:11 112
T  +39.5939283 +002.3523533 20-OCT-06 10:32:19 111
T  +39.5941883 +002.3523017 20-OCT-06 10:32:42 108
T  +39.5943900 +002.3520900 20-OCT-06 10:33:15 105
T  +39.5944250 +002.3520450 20-OCT-06 10:33:22 104
T  +39.5944900 +002.3518950 20-OCT-06 10:33:41 101
T  +39.5947383 +002.3514900 20-OCT-06 10:34:25 97
T  +39.5948233 +002.3513833 20-OCT-06 10:34:44 97
T  +39.5948200 +002.3512817 20-OCT-06 10:34:55 97
T  +39.5948883 +002.3512750 20-OCT-06 10:35:03 96
T  +39.5949683 +002.3512817 20-OCT-06 10:35:17 96
T  +39.5949633 +002.3512633 20-OCT-06 10:35:25 97
T  +39.5949550 +002.3512183 20-OCT-06 10:35:32 96
T  +39.5949900 +002.3512000 20-OCT-06 10:35:40 95
T  +39.5953517 +002.3510917 20-OCT-06 10:36:28 89
T  +39.5953533 +002.3510750 20-OCT-06 10:36:36 89
T  +39.5955917 +002.3510050 20-OCT-06 10:37:08 87
T  +39.5956067 +002.3510150 20-OCT-06 10:37:15 86
T  +39.5957433 +002.3509067 20-OCT-06 10:37:52 83
T  +39.5957650 +002.3509000 20-OCT-06 10:38:00 82
T  +39.5958283 +002.3508850 20-OCT-06 10:38:08 82
T  +39.5958900 +002.3509000 20-OCT-06 10:38:23 83
T  +39.5958317 +002.3508800 20-OCT-06 10:38:32 87
T  +39.5958283 +002.3507933 20-OCT-06 10:38:44 89
T  +39.5958633 +002.3508917 20-OCT-06 10:39:24 88
T  +39.5958450 +002.3509383 20-OCT-06 10:40:10 74
T  +39.5958183 +002.3509067 20-OCT-06 10:40:19 74
T  +39.5957883 +002.3508967 20-OCT-06 10:40:26 74
T  +39.5957883 +002.3509383 20-OCT-06 10:40:35 77
T  +39.5957900 +002.3509800 20-OCT-06 10:40:43 79
T  +39.5958050 +002.3509933 20-OCT-06 10:40:50 81
T  +39.5958050 +002.3509433 20-OCT-06 10:48:42 83
T  +39.5958000 +002.3509050 20-OCT-06 10:48:49 82
T  +39.5957800 +002.3508983 20-OCT-06 10:48:56 81
T  +39.5957633 +002.3508800 20-OCT-06 10:49:03 81
T  +39.5957400 +002.3508333 20-OCT-06 10:49:14 80
T  +39.5956717 +002.3508033 20-OCT-06 10:49:30 79
T  +39.5956083 +002.3507867 20-OCT-06 10:49:41 79
T  +39.5952150 +002.3504383 20-OCT-06 10:50:50 73
T  +39.5951833 +002.3504483 20-OCT-06 10:50:57 73
T  +39.5950450 +002.3504433 20-OCT-06 10:51:34 75
T  +39.5950950 +002.3504500 20-OCT-06 10:51:52 75
T  +39.5951183 +002.3504483 20-OCT-06 10:52:21 74
T  +39.5950617 +002.3504150 20-OCT-06 10:52:31 74
T  +39.5950183 +002.3504100 20-OCT-06 10:52:38 73
T  +39.5949417 +002.3503917 20-OCT-06 10:52:48 72
T  +39.5948867 +002.3503867 20-OCT-06 10:52:56 72
T  +39.5947900 +002.3503450 20-OCT-06 10:53:11 72
T  +39.5944250 +002.3502783 20-OCT-06 10:53:58 69
T  +39.5943800 +002.3502617 20-OCT-06 10:54:08 70
T  +39.5943767 +002.3502633 20-OCT-06 10:54:14 70
T  +39.5941250 +002.3503150 20-OCT-06 10:55:08 65
T  +39.5941067 +002.3502450 20-OCT-06 10:55:14 65
T  +39.5940700 +002.3501283 20-OCT-06 10:55:22 67
T  +39.5939500 +002.3497550 20-OCT-06 10:55:57 75
T  +39.5939233 +002.3497200 20-OCT-06 10:56:05 75
T  +39.5938900 +002.3496550 20-OCT-06 10:56:17 74
T  +39.5938650 +002.3496317 20-OCT-06 10:56:25 73
T  +39.5937317 +002.3494283 20-OCT-06 10:56:56 69
T  +39.5937150 +002.3494450 20-OCT-06 10:57:05 69
T  +39.5936967 +002.3494433 20-OCT-06 10:57:25 67
T  +39.5936533 +002.3493733 20-OCT-06 10:57:42 66
T  +39.5936783 +002.3495117 20-OCT-06 10:58:02 70
T  +39.5936500 +002.3496150 20-OCT-06 10:58:33 72
T  +39.5936267 +002.3496250 20-OCT-06 10:58:41 72
T  +39.5936167 +002.3496967 20-OCT-06 10:58:57 74
T  +39.5936033 +002.3497317 20-OCT-06 10:59:04 75
T  +39.5935667 +002.3497700 20-OCT-06 10:59:19 78
T  +39.5935517 +002.3498167 20-OCT-06 10:59:28 79
T  +39.5935200 +002.3498417 20-OCT-06 10:59:35 82
T  +39.5934083 +002.3500117 20-OCT-06 11:00:27 90
T  +39.5934900 +002.3500550 20-OCT-06 11:01:58 86
T  +39.5933900 +002.3500000 20-OCT-06 11:02:27 90
T  +39.5933717 +002.3500083 20-OCT-06 11:02:41 90
T  +39.5933283 +002.3499400 20-OCT-06 11:03:04 90
T  +39.5933317 +002.3498717 20-OCT-06 11:03:18 87
T  +39.5932983 +002.3498400 20-OCT-06 11:03:30 86
T  +39.5932950 +002.3499467 20-OCT-06 11:03:43 86
T  +39.5931683 +002.3500467 20-OCT-06 11:04:21 93
T  +39.5930533 +002.3499167 20-OCT-06 11:04:42 96
T  +39.5929000 +002.3498133 20-OCT-06 11:05:06 95
T  +39.5927950 +002.3497483 20-OCT-06 11:05:28 97
T  +39.5927567 +002.3497033 20-OCT-06 11:05:42 97
T  +39.5927350 +002.3496700 20-OCT-06 11:05:53 97
T  +39.5926383 +002.3494883 20-OCT-06 11:06:30 97
T  +39.5925250 +002.3493683 20-OCT-06 11:06:53 93
T  +39.5925083 +002.3493300 20-OCT-06 11:07:01 94
T  +39.5923117 +002.3491033 20-OCT-06 11:07:40 96
T  +39.5922467 +002.3490533 20-OCT-06 11:07:49 96
T  +39.5921483 +002.3489650 20-OCT-06 11:08:08 97
T  +39.5921033 +002.3489550 20-OCT-06 11:08:14 97
T  +39.5920250 +002.3489233 20-OCT-06 11:08:23 98
T  +39.5919517 +002.3488800 20-OCT-06 11:08:33 98
T  +39.5918700 +002.3488367 20-OCT-06 11:08:50 97
T  +39.5917917 +002.3487650 20-OCT-06 11:09:06 95
T  +39.5916900 +002.3487383 20-OCT-06 11:09:22 94
T  +39.5915667 +002.3486400 20-OCT-06 11:09:50 91
T  +39.5914100 +002.3487033 20-OCT-06 11:10:16 93
T  +39.5913333 +002.3487233 20-OCT-06 11:10:24 94
T  +39.5912033 +002.3488500 20-OCT-06 11:10:46 93
T  +39.5911767 +002.3488700 20-OCT-06 11:10:55 93
T  +39.5908517 +002.3490133 20-OCT-06 11:11:29 95
T  +39.5904950 +002.3489783 20-OCT-06 11:12:00 93
T  +39.5903783 +002.3489567 20-OCT-06 11:12:10 94
T  +39.5898967 +002.3489817 20-OCT-06 11:12:52 88
T  +39.5897383 +002.3490333 20-OCT-06 11:13:05 86
T  +39.5897333 +002.3490500 20-OCT-06 11:13:11 86
T  +39.5890883 +002.3493683 20-OCT-06 11:14:12 76
T  +39.5889833 +002.3492417 20-OCT-06 11:14:24 75
T  +39.5889400 +002.3490117 20-OCT-06 11:14:40 74
T  +39.5891283 +002.3483217 20-OCT-06 11:15:27 70
T  +39.5894400 +002.3478250 20-OCT-06 11:16:17 64
T  +39.5894650 +002.3476917 20-OCT-06 11:16:28 60
T  +39.5884033 +002.3469333 20-OCT-06 11:18:14 51
T  +39.5881400 +002.3468567 20-OCT-06 11:18:41 50
T  +39.5881517 +002.3468600 20-OCT-06 11:18:50 49
T  +39.5881867 +002.3468333 20-OCT-06 11:18:58 49
T  +39.5882933 +002.3465083 20-OCT-06 11:19:37 43
T  +39.5883400 +002.3460700 20-OCT-06 11:20:13 42
T  +39.5881983 +002.3460083 20-OCT-06 11:20:34 39
T  +39.5877333 +002.3458550 20-OCT-06 11:21:23 32
T  +39.5877650 +002.3460250 20-OCT-06 11:21:36 35
T  +39.5878700 +002.3461667 20-OCT-06 11:21:51 36
T  +39.5878067 +002.3462117 20-OCT-06 11:21:58 37
T  +39.5877333 +002.3462400 20-OCT-06 11:22:05 38
T  +39.5870650 +002.3463183 20-OCT-06 11:23:06 36
T  +39.5866300 +002.3464350 20-OCT-06 11:23:44 39
T  +39.5861500 +002.3464483 20-OCT-06 11:24:24 34
T  +39.5861483 +002.3464517 20-OCT-06 11:24:26 33
T  +39.5861350 +002.3464400 20-OCT-06 11:24:39 34
T  +39.5859867 +002.3465300 20-OCT-06 11:24:52 35
T  +39.5858050 +002.3467550 20-OCT-06 11:25:14 33
T  +39.5857483 +002.3467117 20-OCT-06 11:25:21 33
T  +39.5854283 +002.3462567 20-OCT-06 11:25:59 28
T  +39.5849133 +002.3463700 20-OCT-06 11:26:39 28
T  +39.5844433 +002.3468667 20-OCT-06 11:27:35 25
T  +39.5849383 +002.3482667 20-OCT-06 11:29:12 18
T  +39.5848817 +002.3484150 20-OCT-06 11:29:22 15
T  +39.5844183 +002.3488233 20-OCT-06 11:30:05 16
T  +39.5842867 +002.3487433 20-OCT-06 11:30:23 14
T  +39.5842633 +002.3487883 20-OCT-06 11:30:55 12
T  +39.5837867 +002.3491300 20-OCT-06 11:31:41 10
T  +39.5837467 +002.3490433 20-OCT-06 11:31:49 10
T  +39.5836600 +002.3490767 20-OCT-06 11:31:56 11
T  +39.5832217 +002.3492133 20-OCT-06 11:32:31 11
T  +39.5831533 +002.3491017 20-OCT-06 11:32:45 13
T  +39.5831533 +002.3490333 20-OCT-06 11:32:52 13
T  +39.5831067 +002.3491500 20-OCT-06 11:33:00 12
T  +39.5828467 +002.3493367 20-OCT-06 11:33:24 8
T  +39.5826667 +002.3492250 20-OCT-06 11:33:38 13
T  +39.5815250 +002.3500067 20-OCT-06 11:35:18 8
T  +39.5810583 +002.3501083 20-OCT-06 11:35:57 8
T  +39.5810183 +002.3500983 20-OCT-06 11:36:10 10
T  +39.5802283 +002.3500400 20-OCT-06 11:37:15 29
T  +39.5801500 +002.3500683 20-OCT-06 11:37:24 35
T  +39.5797567 +002.3500483 20-OCT-06 11:37:53 37
T  +39.5796500 +002.3501000 20-OCT-06 11:38:04 30
T  +39.5795833 +002.3500200 20-OCT-06 11:38:12 28
T  +39.5794800 +002.3497900 20-OCT-06 11:38:30 22
T  +39.5792967 +002.3498033 20-OCT-06 11:38:47 17
T  +39.5793017 +002.3498367 20-OCT-06 11:38:54 17
T  +39.5793017 +002.3498617 20-OCT-06 11:39:22 16
T  +39.5793250 +002.3499767 20-OCT-06 11:39:36 17
T  +39.5793200 +002.3497967 20-OCT-06 11:39:46 18
T  +39.5793067 +002.3497450 20-OCT-06 11:39:53 17
T  +39.5790550 +002.3497233 20-OCT-06 11:40:17 12
T  +39.5789067 +002.3500050 20-OCT-06 11:40:39 6
T  +39.5789100 +002.3500283 20-OCT-06 11:40:46 4
T  +39.5789817 +002.3500500 20-OCT-06 11:41:29 0
T  +39.5790417 +002.3500333 20-OCT-06 11:41:43 4
T  +39.5790500 +002.3501767 20-OCT-06 11:41:54 10
T  +39.5788667 +002.3516833 20-OCT-06 11:43:44 18
T  +39.5787583 +002.3522000 20-OCT-06 11:44:23 16
T  +39.5787417 +002.3522917 20-OCT-06 11:44:30 16
T  +39.5784033 +002.3536083 20-OCT-06 11:46:06 10
T  +39.5784017 +002.3536000 20-OCT-06 11:46:13 8
T  +39.5784017 +002.3535967 20-OCT-06 11:46:33 7
